t=2025-11-28T17:47:12-0500 lvl=info msg="no configuration paths supplied"
t=2025-11-28T17:47:12-0500 lvl=info msg="using configuration at default config path" path="/Users/bigdaddy/Library/Application Support/ngrok/ngrok.yml"
t=2025-11-28T17:47:12-0500 lvl=info msg="open config file" path="/Users/bigdaddy/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-11-28T17:49:23-0500 lvl=info msg="join connections" obj=join id=ba44e4603d77 l=[::1]:3050 r=99.131.53.219:52519
t=2025-11-28T17:52:43-0500 lvl=info msg="join connections" obj=join id=d54c887b2576 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:52:44-0500 lvl=info msg="join connections" obj=join id=5f3946511d90 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:52:44-0500 lvl=info msg="join connections" obj=join id=a80331816fc8 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:52:44-0500 lvl=info msg="join connections" obj=join id=f5d8a571bc5a l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:52:44-0500 lvl=info msg="join connections" obj=join id=4b666986218a l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:52:44-0500 lvl=info msg="join connections" obj=join id=7f736a318f18 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:52:44-0500 lvl=info msg="join connections" obj=join id=e7c1a22e0667 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:52:44-0500 lvl=info msg="join connections" obj=join id=6963550498b8 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:52:44-0500 lvl=info msg="join connections" obj=join id=66c3a1647267 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:52:44-0500 lvl=info msg="join connections" obj=join id=451d8eb23d2b l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:52:44-0500 lvl=info msg="join connections" obj=join id=4a8c0c45769b l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:52:44-0500 lvl=info msg="join connections" obj=join id=78de9e485e9a l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:52:44-0500 lvl=info msg="join connections" obj=join id=d0f03d36dbae l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:52:44-0500 lvl=info msg="join connections" obj=join id=8edee72f5a17 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:52:44-0500 lvl=info msg="join connections" obj=join id=ca621341243c l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:52:44-0500 lvl=info msg="join connections" obj=join id=ad42861f42b4 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:52:44-0500 lvl=info msg="join connections" obj=join id=353854b18284 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:52:44-0500 lvl=info msg="join connections" obj=join id=844525f35182 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:52:44-0500 lvl=info msg="join connections" obj=join id=28306e5ae6bb l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:52:44-0500 lvl=info msg="join connections" obj=join id=2edf1107a88f l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:52:44-0500 lvl=info msg="join connections" obj=join id=8ec9fb33c581 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:52:44-0500 lvl=info msg="join connections" obj=join id=9766caaa8c3a l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:52:44-0500 lvl=info msg="join connections" obj=join id=843ba0f50375 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:52:45-0500 lvl=info msg="join connections" obj=join id=6348273c8519 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:52:45-0500 lvl=info msg="join connections" obj=join id=30398548413a l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:52:45-0500 lvl=info msg="join connections" obj=join id=665be29f5f87 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:52:45-0500 lvl=info msg="join connections" obj=join id=c31e40fc3b8b l=[::1]:3050 r=99.131.53.219:52638
t=2025-11-28T17:52:51-0500 lvl=info msg="join connections" obj=join id=0e389867a9d1 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:56:06-0500 lvl=info msg="join connections" obj=join id=46444f7b5c3b l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:56:06-0500 lvl=info msg="join connections" obj=join id=7d3976cf8747 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:56:06-0500 lvl=info msg="join connections" obj=join id=733b044d2346 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:56:06-0500 lvl=info msg="join connections" obj=join id=d5272b028fa0 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:56:06-0500 lvl=info msg="join connections" obj=join id=5b3a489bab85 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:56:06-0500 lvl=info msg="join connections" obj=join id=5b1694193cf6 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:56:06-0500 lvl=info msg="join connections" obj=join id=6bdc4bf55ce5 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:56:06-0500 lvl=info msg="join connections" obj=join id=acad110c6746 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:56:06-0500 lvl=info msg="join connections" obj=join id=59a4e791af9b l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:56:06-0500 lvl=info msg="join connections" obj=join id=6993d47068da l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:56:06-0500 lvl=info msg="join connections" obj=join id=45a2ebe8ff63 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:56:06-0500 lvl=info msg="join connections" obj=join id=f911b14ce8d7 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:56:06-0500 lvl=info msg="join connections" obj=join id=06695031d88f l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:56:06-0500 lvl=info msg="join connections" obj=join id=fae85411b225 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:56:06-0500 lvl=info msg="join connections" obj=join id=7ebe01bfe9c6 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:56:06-0500 lvl=info msg="join connections" obj=join id=b31a06e54a8c l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:56:06-0500 lvl=info msg="join connections" obj=join id=009ba9cb4ce2 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:56:06-0500 lvl=info msg="join connections" obj=join id=8b3c3573455e l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:56:06-0500 lvl=info msg="join connections" obj=join id=9af9e5591dfe l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:56:06-0500 lvl=info msg="join connections" obj=join id=aba79ac6b306 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:56:06-0500 lvl=info msg="join connections" obj=join id=11a0d96042f4 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:56:06-0500 lvl=info msg="join connections" obj=join id=d56175c591e1 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:56:06-0500 lvl=info msg="join connections" obj=join id=4daa24aa52dc l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:56:06-0500 lvl=info msg="join connections" obj=join id=7009614be2b1 l=[::1]:3050 r=99.131.53.219:52610
